category,auc_roc_DT,acc_DT,auc_roc_RF,acc_RF
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.8735842842592537,0.9555692687442148,0.8818961188398196,0.9611231101511879
3,0.8373363215260057,0.9731164951875207,0.8125294742455695,0.9711251244606705
4,0.7594951233505449,0.9873617693522907,0.782903040734366,0.9873617693522907
5,0.67942774357117,0.9843382928739233,0.5183448026077507,0.9749412685982772
6,0.8421632878054756,0.9797297297297297,0.8090126783854964,0.9788851351351351
7,0.8823156215255313,0.8822055137844611,0.8808174777162885,0.8809523809523809
8,0.8077781220948249,0.9616935483870968,0.7835450883173225,0.9657258064516129
9,0.9140066189815309,0.9501312335958005,0.8998612149033842,0.9501312335958005
10,0.9163766855154415,0.9258160237388724,0.9312309699869509,0.9287833827893175
11,0.7615551275878671,0.7806122448979592,0.80825710158883,0.8622448979591837
12,0.0,0.0,0.0,0.0
13,0.8295918367346937,0.8984375,0.7731292517006803,0.8828125
14,0.8778761061946904,0.9491525423728814,0.7,0.9745762711864406
